2025-07-08 22:12:20,632 INFO: 
------------------------ neosr ------------------------
Pytorch Version: 2.5.1+cu124. Running on gpu NVIDIA L4, with driver 535.247.01.
2025-07-08 22:12:21,673 INFO: Dataset [paired] is built.
2025-07-08 22:12:21,673 INFO: Training informations:
-------- Starting model: train_plksr_tiny_4x
-------- GPUs detected: 1
-------- Patch size: 32
-------- Dataset size: 1365
-------- Batch size per gpu: 4
-------- Accumulated batches: 4
-------- Required iters per epoch: 342
-------- Total epochs 1316 for total iters 450000.
2025-07-08 22:12:21,753 INFO: Dataset [paired] is built.
2025-07-08 22:12:21,753 INFO: Number of val images/folders: 162
2025-07-08 22:12:21,910 INFO: Using network [plksr].
2025-07-08 22:12:22,075 INFO: Using network [metagan].
2025-07-08 22:12:22,116 INFO: Loading plksr model from /teamspace/studios/this_studio/neosr/experiments/train_plksr_tiny_4x/models/net_g_30000.pth, with param key: [params].
2025-07-08 22:12:22,576 INFO: Loading metagan model from /teamspace/studios/this_studio/neosr/experiments/train_plksr_tiny_4x/models/net_d_30000.pth, with param key: [params].
2025-07-08 22:12:22,715 INFO: Using exponential-moving average.
2025-07-08 22:12:22,904 INFO: Loss [mssim_loss] enabled.
2025-07-08 22:12:22,904 INFO: Loss [gan_loss] enabled.
2025-07-08 22:12:22,904 INFO: Loss [wavelet-guided] enabled.
2025-07-08 22:12:22,904 INFO: Using model [image].
2025-07-08 22:12:23,030 INFO: [1;32mResuming training from epoch: 87, iter: 30000[0m
2025-07-08 22:12:31,806 INFO: AMP enabled with BF16.
2025-07-08 22:12:31,807 INFO: [1;32mStart training from epoch: 87, iter: 30000[0m
2025-07-08 22:14:22,088 INFO: [ epoch:  87 ] [ iter: 30,100 ] [ performance: 0.907 it/s ] [ lr: 1.00e-05 ] [ eta: 5 days, 20:16:05 ] [ l_g_mssim: 1.0250e-03 ] [ l_g_gan: 4.5129e+00 ] [ l_g_total: 4.5139e+00 ] [ l_d_real: 8.5429e-07 ] [ out_d_real: 1.4125e+01 ] [ l_d_fake: 1.3113e-06 ] [ out_d_fake: -1.5062e+01 ] [ l_d_total: 1.0828e-06 ] 
2025-07-08 22:15:07,163 INFO: [ epoch:  87 ] [ iter: 30,200 ] [ performance: 1.287 it/s ] [ lr: 1.00e-05 ] [ eta: 4 days, 0:10:42 ] [ l_g_mssim: 1.9991e-03 ] [ l_g_gan: 3.9234e+00 ] [ l_g_total: 3.9254e+00 ] [ l_d_real: 1.1764e-06 ] [ out_d_real: 1.3688e+01 ] [ l_d_fake: 2.3842e-06 ] [ out_d_fake: -1.3062e+01 ] [ l_d_total: 1.7803e-06 ] 
2025-07-08 22:15:51,011 INFO: [ epoch:  87 ] [ iter: 30,300 ] [ performance: 2.275 it/s ] [ lr: 1.00e-05 ] [ eta: 3 days, 9:05:36 ] [ l_g_mssim: 2.8729e-04 ] [ l_g_gan: 3.0328e+00 ] [ l_g_total: 3.0331e+00 ] [ l_d_real: 1.2182e-06 ] [ out_d_real: 1.4062e+01 ] [ l_d_fake: 5.3823e-05 ] [ out_d_fake: -1.0125e+01 ] [ l_d_total: 2.7521e-05 ] 
2025-07-08 22:16:40,963 INFO: [ epoch:  88 ] [ iter: 30,400 ] [ performance: 2.129 it/s ] [ lr: 1.00e-05 ] [ eta: 3 days, 3:20:47 ] [ l_g_mssim: 8.4698e-04 ] [ l_g_gan: 2.7827e+00 ] [ l_g_total: 2.7835e+00 ] [ l_d_real: 2.2904e-07 ] [ out_d_real: 1.5812e+01 ] [ l_d_fake: 2.2554e-04 ] [ out_d_fake: -9.2500e+00 ] [ l_d_total: 1.1289e-04 ] 
2025-07-08 22:17:26,184 INFO: [ epoch:  88 ] [ iter: 30,500 ] [ performance: 2.204 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 22:47:34 ] [ l_g_mssim: 4.8882e-04 ] [ l_g_gan: 2.7557e+00 ] [ l_g_total: 2.7562e+00 ] [ l_d_real: 7.1296e-07 ] [ out_d_real: 1.4688e+01 ] [ l_d_fake: 1.6761e-04 ] [ out_d_fake: -9.1875e+00 ] [ l_d_total: 8.4161e-05 ] 
2025-07-08 22:18:14,525 INFO: [ epoch:  88 ] [ iter: 30,600 ] [ performance: 2.134 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 20:21:43 ] [ l_g_mssim: 1.2375e-03 ] [ l_g_gan: 3.5191e+00 ] [ l_g_total: 3.5204e+00 ] [ l_d_real: 1.7218e-07 ] [ out_d_real: 1.6125e+01 ] [ l_d_fake: 1.6689e-05 ] [ out_d_fake: -1.1750e+01 ] [ l_d_total: 8.4307e-06 ] 
2025-07-08 22:19:03,691 INFO: [ epoch:  89 ] [ iter: 30,700 ] [ performance: 2.015 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 18:45:37 ] [ l_g_mssim: 7.6362e-04 ] [ l_g_gan: 3.3844e+00 ] [ l_g_total: 3.3851e+00 ] [ l_d_real: 4.8675e-05 ] [ out_d_real: 1.1125e+01 ] [ l_d_fake: 1.3173e-05 ] [ out_d_fake: -1.1250e+01 ] [ l_d_total: 3.0924e-05 ] 
2025-07-08 22:19:47,587 INFO: [ epoch:  89 ] [ iter: 30,800 ] [ performance: 2.141 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 16:47:18 ] [ l_g_mssim: 1.4611e-03 ] [ l_g_gan: 3.4113e+00 ] [ l_g_total: 3.4128e+00 ] [ l_d_real: 2.5490e-05 ] [ out_d_real: 1.1125e+01 ] [ l_d_fake: 1.3351e-05 ] [ out_d_fake: -1.1375e+01 ] [ l_d_total: 1.9421e-05 ] 
2025-07-08 22:20:33,062 INFO: [ epoch:  89 ] [ iter: 30,900 ] [ performance: 2.178 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 15:27:23 ] [ l_g_mssim: 2.8651e-03 ] [ l_g_gan: 3.5590e+00 ] [ l_g_total: 3.5619e+00 ] [ l_d_real: 5.8113e-06 ] [ out_d_real: 1.2562e+01 ] [ l_d_fake: 7.6890e-06 ] [ out_d_fake: -1.1875e+01 ] [ l_d_total: 6.7502e-06 ] 
2025-07-08 22:21:14,984 INFO: [ epoch:  89 ] [ iter: 31,000 ] [ performance: 2.279 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 13:58:30 ] [ l_g_mssim: 1.2629e-03 ] [ l_g_gan: 4.0840e+00 ] [ l_g_total: 4.0852e+00 ] [ l_d_real: 5.2506e-06 ] [ out_d_real: 1.3750e+01 ] [ l_d_fake: 1.8477e-06 ] [ out_d_fake: -1.3625e+01 ] [ l_d_total: 3.5492e-06 ] 
2025-07-08 22:22:02,688 INFO: [ epoch:  90 ] [ iter: 31,100 ] [ performance: 2.131 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 13:22:24 ] [ l_g_mssim: 1.6920e-03 ] [ l_g_gan: 4.3945e+00 ] [ l_g_total: 4.3962e+00 ] [ l_d_real: 1.0409e-05 ] [ out_d_real: 1.1750e+01 ] [ l_d_fake: 4.7684e-07 ] [ out_d_fake: -1.4625e+01 ] [ l_d_total: 5.4428e-06 ] 
2025-07-08 22:22:45,010 INFO: [ epoch:  90 ] [ iter: 31,200 ] [ performance: 2.244 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 12:20:51 ] [ l_g_mssim: 1.0819e-03 ] [ l_g_gan: 5.2324e+00 ] [ l_g_total: 5.2335e+00 ] [ l_d_real: 2.5403e-06 ] [ out_d_real: 1.3500e+01 ] [ l_d_fake: 5.9605e-08 ] [ out_d_fake: -1.7500e+01 ] [ l_d_total: 1.2999e-06 ] 
